id	sepal length in cm	sepal width in cm	petal length in cm	petal width in cm	class
0	5.3	3.7	1.5	0.2	Iris-setosa
1	6.8	2.8	4.8	1.4	Iris-versicolor
3	6.1	3.0	4.9	1.8	Iris-virginica
4	6.4	3.2	5.3	2.3	Iris-virginica
5	6.3	3.3	4.7	1.6	Iris-versicolor
6	6.1	2.8	4.0	1.3	Iris-versicolor
9	6.1	2.9	4.7	1.4	Iris-versicolor
11	7.3	2.9	6.3	1.8	Iris-virginica
12	6.4	2.8	5.6	2.1	Iris-virginica
14	7.2	3.2	6.0	1.8	Iris-virginica
17	6.1	3.0	4.6	1.4	Iris-versicolor
19	5.9	3.0	5.1	1.8	Iris-virginica
21	6.7	3.0	5.2	2.3	Iris-virginica
23	7.9	3.8	6.4	2.0	Iris-virginica
25	4.8	3.0	1.4	0.3	Iris-setosa
28	4.9	3.6	1.4	0.1	Iris-setosa
29	5.9	3.0	4.2	1.5	Iris-versicolor
31	6.6	3.0	4.4	1.4	Iris-versicolor
32	6.3	2.3	4.4	1.3	Iris-versicolor
34	4.6	3.2	1.4	0.2	Iris-setosa
35	5.1	3.8	1.6	0.2	Iris-setosa
36	7.6	3.0	6.6	2.1	Iris-virginica
38	6.7	2.5	5.8	1.8	Iris-virginica
39	6.0	3.0	4.8	1.8	Iris-virginica
41	5.1	3.4	1.5	0.2	Iris-setosa
42	4.9	2.5	4.5	1.7	Iris-virginica
46	6.4	2.7	5.3	1.9	Iris-virginica
47	5.7	2.6	3.5	1.0	Iris-versicolor
49	6.7	3.1	5.6	2.4	Iris-virginica
53	4.9	3.1	1.5	0.2	Iris-setosa
55	6.5	3.0	5.5	1.8	Iris-virginica
57	5.1	3.7	1.5	0.4	Iris-setosa
58	4.4	3.2	1.3	0.2	Iris-setosa
65	5.0	3.4	1.5	0.2	Iris-setosa
67	5.4	3.7	1.5	0.2	Iris-setosa
68	7.2	3.0	5.8	1.6	Iris-virginica
70	6.3	2.7	4.9	1.8	Iris-virginica
72	5.7	2.9	4.2	1.3	Iris-versicolor
74	4.9	3.1	1.5	0.1	Iris-setosa
75	5.6	2.9	3.6	1.3	Iris-versicolor
77	5.5	4.2	1.4	0.2	Iris-setosa
79	7.7	3.8	6.7	2.2	Iris-virginica
81	5.2	4.1	1.5	0.1	Iris-setosa
82	6.0	2.2	5.0	1.5	Iris-virginica
87	7.1	3.0	5.9	2.1	Iris-virginica
88	5.8	2.8	5.1	2.4	Iris-virginica
96	4.8	3.0	1.4	0.1	Iris-setosa
98	5.5	2.6	4.4	1.2	Iris-versicolor
99	7.7	2.6	6.9	2.3	Iris-virginica
102	6.1	2.6	5.6	1.4	Iris-virginica
103	4.7	3.2	1.3	0.2	Iris-setosa
104	6.2	2.8	4.8	1.8	Iris-virginica
105	4.6	3.6	1.0	0.2	Iris-setosa
109	5.1	3.8	1.9	0.4	Iris-setosa
110	5.8	4.0	1.2	0.2	Iris-setosa
113	5.9	3.2	4.8	1.8	Iris-versicolor
115	6.9	3.1	4.9	1.5	Iris-versicolor
117	5.8	2.7	3.9	1.2	Iris-versicolor
118	6.3	3.4	5.6	2.4	Iris-virginica
120	7.2	3.6	6.1	2.5	Iris-virginica
122	5.6	2.5	3.9	1.1	Iris-versicolor
124	5.0	3.0	1.6	0.2	Iris-setosa
128	5.8	2.7	4.1	1.0	Iris-versicolor
129	5.0	3.5	1.6	0.6	Iris-setosa
130	5.0	3.2	1.2	0.2	Iris-setosa
131	5.0	2.0	3.5	1.0	Iris-versicolor
136	5.5	3.5	1.3	0.2	Iris-setosa
138	6.5	3.0	5.8	2.2	Iris-virginica
139	4.8	3.1	1.6	0.2	Iris-setosa
140	7.7	2.8	6.7	2.0	Iris-virginica
142	6.4	3.2	4.5	1.5	Iris-versicolor
143	5.4	3.9	1.7	0.4	Iris-setosa
145	5.6	3.0	4.1	1.3	Iris-versicolor
148	5.2	2.7	3.9	1.4	Iris-versicolor
149	6.9	3.1	5.1	2.3	Iris-virginica
